Team,Athlete Name,400,800,1500,1600,Mile,3000,3200,2 Mile,5k,10k,5k (XC),Steeplechase,"Notable Finishes (State, NXN, FL)"
USC,Gigi Maccagnini,,2:04,4:22,,,,,,,,,,
Utah,NA,,,,,,,,,,,,,
Washington,NA,,,,,,,,,,,,,
Washington State,NA,,,,,,,,,,,,,
New Mexico,Lauren Bettencourt,,2:13,,4:55,,,11:11,,,,18:19,7:18,
New Mexico,Cora Cooke,,2:15,,5:06,5:06,,10:59,,,,18:26,,
Utah State,Aubrey Thueson,,2:25,,5:01,,,11:10,,,,18:21,,
Utah State,Madison Strasner,,2:26,,5:11,,,11:12,,,,,,
Utah State,Emma Thornley,,2:27,,5:03,,,10:42,,,,18:14,,
Boise State,Rebecca Vander Poel,56.01,2:16,,,,,,,,,,,
Boise State,Helena Kleronomos,,2:19,,5:05,,,11:19,,,,18:16,,
Boise State,Abby Kendrick,,2:23,,5:04,,,10:59,,,,17:10,,
Boise State,Sunitha Black,,2:26,4:50,,,10:19,,,,,,,
Boise State,Autumn Ost,,2:18,4:41,,,10:09,,,,,17:45,,
Boise State,Oakley Olson,,2:18,,4:57,4:58,,10:48,11:07,18:09,,18:16,,
Boise State,Lauren Larson,,2:14,,5:03,5:18,,10:54,,,,18:21,,
Boise State,Brynnli Poulsen,,2:17,,5:09,,,11:36,,,,18:16,,
Boise State,Elsa Wallenius,,2:14,4:29,,,9:36,,,17:16,37:04:00,,6:47 (2k),
Air Force,Amalie Mills,,2:11,,4:55,4:52,,,,,,17:30,,
Air Force,Halle Hamilton,,2:20,,5:02,,,10:59,,,,17:50,,
Air Force,Lindsey Peters,,2:12,4:56,4:53,,,10:37,,,,18:26,,
Air Force,Allyson Peterson,,2:25,4:53,5:10,,,11:04,,,,18:03,,
Air Force,Sydney Weaber,,2:19,4:51,5:00,,,11:22,,,,18:53,,
Colorado State,NA,,,,,,,,,,,,,
Nevada,NA,,,,,,,,,,,,,
Wyoming,Leah Christians,,,,5:07,,,10:50,,,,,,
Wyoming,Rozlyn Slichko,,,,5:06,,,10:57,,,,,,
Wyoming,Libby Berryhill,,,,5:08,,,11:25,,,,,,
BYU,Elizabeth Dildine,,2:14,,4:58,,,11:13,,,,17:34,7:14 (2k),
BYU,Alli Baker,57.66,2:08,,5:00,,,11:07,,,,,,
BYU,Carmen Alder,,2:18,4:26,4:40,4:43,9:31,10:07,10:57,16:54,,16:58,,
BYU,Eliza Arrington,,2:17,,4:56,,,11:01,,,,17:18,,
BYU,Reagan Gardner,,2:20,,5:05,,,10:47,,,,17:49,,
BYU,Analee Weaver,,2:15,,4:49,4:52,,10:15,,,,16:42,,
BYU,Brynn Esplin,,2:22,,5:05,,,11:02,,,,,,
BYU,Cambrie Smith,,,,5:10,,,10:50,,,,17:52,,
BYU,Krystie Solomon,56.86,2:10,4:51,,,,,,,,,,
NAU,Anna Fenske,,2:22,,4:53,,,10:26,10:50,17:53,,17:00,,
NAU,Nikita Moore,,,4:26,,,9:32,,,16:44,,,,
NAU,Lauren Jorgenson,,,,5:10,,,11:07,,,,17:53,,
Furman,Kaylie Armitage,,,4:29,,,9:44,,,16:59,,,,
Furman,Sierra Bower,,2:16,,5:00,,,10:33,,,,,,
Furman,Meghan Ford,,2:14,,4:52,,,10:38,,17:07,,,,
Georgetown,Angeline Caamano,,2:13,4:41,5:07,,10:32,,,,,,,
Georgetown,Emilia Puskas,,2:15,,5:09,5:17,,,,,,,,
Georgetown,Melissa Riggins,,2:08,,4:45,4:54,,,,,,18:13,,
Georgetown,Chloe Scrimgeour,,,4:49,4:46,,9:40,10:15,10:06,16:58,,17:43,,
,,,,,,,,,,,,,,
Villanova,Maya Dorer,58.86,2:12,4:58,,5:00,11:32,,,,,,,
Villanova,Margaret Carroll,,2:21,,4:55,,10:21,10:53,,17:11,,17:31,,
Villanova,Emma McGill,,2:17,4:36,4:53,4:52,,10:36,10:35,,,17:59,,
Villanova,Emily Robinson,,2:14,,4:59,,,10:49,,,,18:30,,
Villanova,Sadie Sigfstead,,2:16,4:29,,4:56,9:44,,,16:46,,,,
Villanova,Alex Stasichin,58.84,2:13,4:52,,,,,,,,,7:28 (2k),
Butler,Lexi Affolter,,2:12,4:46,4:52,5:03,,10:56,,,,,,
Butler,Laure Bertrand,,,4:35,,,9:51,,,,34:37:00,,,
Butler,Ashley Learn,,,,5:06,,,10:58,,,,18:01,,
Butler,Elsa Rusthoven,,,,5:08,,,11:03,,,,,,
Butler,Quinn Shanahan,,,,5:14,,,10:43,,,,17:49,,
UConn,Danielle Adams,,2:22,,5:06,,,,,,,,,
UConn,Megan Perrota,,2:16,,5:11,,,,,,,,,
UConn,Madison Relyea,,2:20,4:43,,,10:56,,,,,,7:27 (2k),
UConn,Chloe Thomas,,2:15,4:33,,,9:45,,,17:13,,,,
Providence,Olivia Belt,,2:24,4:53,5:15,,,,,,,,,
Providence,Holly Brennan,,2:18,4:45,,,9:59,,,17:36,,,,
Providence,Claire Kelly,,2:19,4:43,5:10,,10:37,,,,,,,
Providence,Kimberly May,59.34,2:11,4:29,,4:59,,,,,,,,
